제목,내용,평점,좋아요 수
트위스터스,토네이도 현장감에 한번 놀라고 앤딩씬에서 두 남여주가 키스하지 않고 끝내버림에 두번 놀라게 된다,3.5,12
플라이 미 투 더 문,"인류 최대의 업적, 달 착륙 프로젝트 그리고 발칙한 플랜B",3.5,6
크로스,익숙한 장면들의 끝없는 크로스.. 극장에서 개봉하지 않는데는 다 이유가 있다,3.0,9
소풍,제목이 아무리 소풍이라지만 결말이 이거슨 아니지..,2.0,6
펄,이해할수도 용서할수도 없는 할망구의 내 청춘을 도리도,3.0,7
엑스,멈출수 없는 할망구의 엽기적인 활극,3.0,6
로드킬,차라리 타임루프로 갔더라면,2.0,5
맥신,미아고스가 이제 한 장르가 되었고 케빈 베이컨의 연기는 이 영화에 낭비다,3.5,10
더 킬러: 죽어도 되는 아이,안봐도 되는 영화,2.0,5
콰이어트 플레이스: 첫째 날,쉿 절대 소리내지 말것 ..재미 더럽게 없다고,0.5,8
대외비,"""원래 세상은 더럽고, 인생은 서럽다."" ...명대사 명연기 다 좋았는데 제목을 다르게 했더라면..",4.0,6
댓글부대,진실과 거짖의 틈에서 놀아나다,3.5,7
철마류,우영광이 견자단을 압도한 시기,3.0,6
더 워처스,어느 장면에서 무서워 해야 하는 건지..,2.0,7
뺑소니: 최고로 최악의 날,친구가 이렇게 중요합니다,2.0,7
범죄도시4,이 시리즈는 속편이 나올수록 최하가 나오는데 흥행은 천만..기이하다..스크린 독점이 낳은 괴물,2.0,10
그대들은 어떻게 살 것인가,어쩌면 마지막일 수도 있는 인류에게 전하는 하야오 감독님의 조금은 난해하지만 솔직한 편지,3.5,8
시빌 워: 분열의 시대,"영화 속에서 분열된 미국인들의 상호불신을 나타내는 대사인 ""What Kind of an American Are You? (당신은 어떠한 미국인인가?)"" 라는 똑같은 질문을 지금 한국에서도 서로 하고 있지 않나 싶다",3.5,26
원더랜드,유명배우들이 대거 출연함에도 관객들이 외면하는데는 다 이유가 있다,2.5,11
퓨리오사: 매드맥스 사가,이 영화를 만든 80넘으신 조지밀러 감독님을 압도적으로 리스펙합니다,3.5,10
최후의 호흡,그렇게 사고 3주 후 그들이 다시 직장으로 출근했다는 사실이 더 경악스럽다,3.0,6
리바이어던,러시아에서 만들었다고는 도저히 믿을수 없을 만큼 사실적이고 비관적이다,3.5,10
복수혈전,"진중한연기, 더빙, 대사..기가막히다",1.0,4
차이콥스키의 아내,"안토니나는 ""형제간의 우애같은"" 말 같지도 않은 차이콥스키의 청혼을 들었을때 미리 알아차려야 했었다",3.5,8
잔 뒤 바리,왕의 여자 잔뒤바리 ..아무리 감독이라지만 꼭 여주를 본인이 했어야만 했나?,3.0,12
남자가 여자를 사랑할 때,닉크가 한 것은 사랑이 아니고 끔찍한 꿈,3.0,6
홀 인 더 그라운드,아들이 가짜가 아니라 이 영화가 가짜다,2.0,6
미지의 집착,외계인의 집착증과 인간의 공황장애의  한판 대결,2.0,8
씨 피버,주인공 시본과 해양괴물의 평범한 만남,1.5,7
크레이지 하트,제프 브리지스만 보이는 영화,4.0,8
애프터 웨딩,주인공은 야곱이 아닌 욜젠이었다,3.0,7
비우티풀,유스발에게는 죽음이 비로소 고통의 삶에서 구출되는 비상구가 된다,4.0,10
본 레거시,멧 데이먼 없는 본은 찍지마라,2.5,7
서극의 칼,서극이 칼을 갈고 만들었으나 제목만 칼일뿐 한참 무디다,2.0,6
예스 마담 2 - 황가전사,양자경과 사나다히로유키의 젊었을때의 모습을 볼 수 있는것만으로도 가치가 있다,3.0,7
스턴트맨,로멘스 액션 코미디에 스턴트 묘기를 더 해 라이언고슬링 근육까지 부족함이 없다,3.0,13
오멘: 저주의 시작,오멘 원작의 프리퀄 이제 부터 다시 시작이다,3.0,9
